delta_feature_0,delta_feature_1,delta_feature_2,delta_feature_3,delta_feature_4,delta_feature_5,delta_feature_6,delta_feature_7,delta_feature_8,delta_feature_9,delta_feature_10,delta_feature_11,label
0.05514052454602131,0.02049832765119497,0.18000578260922562,0.10865308664679857,0.003554841889892635,0.237706207238497,-7.544035940716643,1.4446477273096514,0.024102570290906677,0.016614808321700036,0.2521276763521416,0.05628307595357676,2.0
-0.00845409693172644,0.007645047928893145,0.1034714364358782,0.005883990501780234,-0.013710571537346783,0.05308828599587345,-2.352556907684278,3.139084217270673,0.018067564309245054,-0.030092779823619686,0.06599109657207158,0.030092836038763143,2.0
-0.0068975622071794085,0.008127750728168015,0.12046629258771957,0.018471683921926163,-0.011251236348763904,0.07829499318218824,-2.85553346454625,4.373568676497492,0.022783282063049026,-0.021785041448186493,0.0770116496423725,0.0393215142794838,2.0
-0.003768841708722437,0.017578333889199882,0.037832462356083285,0.0856375182095262,8.033150624053853e-05,0.13016805250773433,-4.475428918207914,0.4158251792713621,0.035013644842177505,-0.0606519780603576,-0.005449691718665495,0.0400894837686859,2.0
0.05616926505835307,0.02718583991585849,0.20446414397978718,0.040216610997273694,-0.009429243803900755,0.1486938235669456,-7.948911035233468,0.18045942428799755,0.04023255024983674,0.03930301506561351,0.2720421829103876,0.06912824310269286,2.0
0.0018248275461088537,0.02529507913185086,0.06611737162359588,0.0840534089917378,-0.004080017751543541,0.1426849862227656,-4.417447097887775,-0.3300975857823829,0.04666995323607137,-0.08350347660820512,0.015640038415684288,0.04153885020399775,2.0
0.06349008914396187,0.03528369755610167,0.2158525172682022,0.04563144879338038,-0.01202272327020193,0.16223340088661142,-7.581757809793274,0.17551868950145177,0.05032627860048933,0.034542662281737746,0.2790248906693944,0.07161241507914765,2.0
-0.01547436814629538,-0.000632608569021309,0.14411503069205,0.0029089507675801873,-0.01607611999290648,0.06665337657531567,-2.390096117546971,3.7730161835047573,0.028609133709996848,-0.0251367954835936,0.09875676967037883,0.04103038615427737,2.0
0.05669510370677866,0.02542290932456409,0.24911326437960168,0.05389530797140174,-0.013396939535967434,0.19086390581442447,-8.115683896311747,0.4191976307121861,0.05380899656799987,0.02887234772778091,0.31229501848165375,0.07823187066541129,2.0
-0.001090809878876886,0.01669559390607811,0.0989263202868984,0.09356657984492028,0.0036875685154966753,0.17285362588428155,-2.9517062272035997,4.924030495497566,-0.0007246479106216563,-0.04229296011381334,0.07884730193967604,0.030261439840982063,2.0
-0.014559569839723063,0.003075064152501028,0.10592122762491196,0.018431673200155485,-0.012280129036615128,0.07167498817893159,-2.754106802821145,4.0227037479920424,0.009085820867569039,-0.0373090159815217,0.04880458847148672,0.02874108805870912,2.0
